cliente_id,edad_cliente,antiguedad_meses,frecuencia_compra,ticket_promedio,dias_desde_ultima_compra,canal_preferido,tipo_cliente,region,uso_descuento,visitas_web_30d,compras_ult_90d,reclamos_ult_12m,compro_campania,valor_compra_futura,valor_real_campania
29,35,50,7,45.28,32,Mixto,Mayorista,Occidente,0.398,5,2,0,0,218.53,0.0
30,22,100,9,67.61,66,Online,Nuevo,Centro,0.278,7,1,1,1,172.24,172.24
31,36,22,6,90.66,41,Tienda,Recurrente,Centro,0.067,7,1,0,1,200.43,200.43
32,42,16,1,107.21,2,Tienda,Nuevo,Centro,0.366,4,2,0,0,187.95,0.0
33,31,25,6,84.04,36,Online,Recurrente,Centro,0.332,7,2,0,0,213.55,0.0
34,31,3,8,108.62,20,Online,Recurrente,Sur,0.141,9,1,0,1,197.89,197.89
35,51,1,3,120.69,169,Online,Recurrente,Centro,0.101,7,1,0,1,168.68,168.68
36,47,42,6,168.88,29,Online,Mayorista,Norte,0.218,11,0,0,1,251.11,251.11
37,38,6,5,74.33,28,Tienda,Nuevo,Oriente,0.243,6,1,0,1,135.56,135.56
38,37,53,4,114.49,32,Mixto,Nuevo,Sur,0.186,5,0,0,1,167.68,167.68
39,40,23,4,116.92,83,Mixto,Nuevo,Centro,0.3,9,2,0,1,167.4,167.4
40,33,5,2,126.74,3,Online,Recurrente,Oriente,0.458,8,3,0,1,179.21,179.21
41,38,61,5,65.88,2,Online,Recurrente,Sur,0.361,6,4,0,1,211.87,211.87
42,40,3,2,117.72,28,Tienda,Recurrente,Centro,0.25,4,1,0,0,194.43,0.0
43,54,76,6,68.58,10,Tienda,Recurrente,Centro,0.599,8,1,0,0,132.4,0.0
44,25,3,6,103.92,92,Online,Nuevo,Norte,0.236,10,1,1,0,198.39,0.0
45,48,14,2,164.75,159,Tienda,Recurrente,Occidente,0.298,4,2,1,1,272.43,272.43
46,56,15,3,74.77,43,Online,Mayorista,Centro,0.092,9,0,0,1,151.28,151.28
47,29,33,4,246.8,63,Tienda,Nuevo,Sur,0.123,8,3,0,0,293.93,0.0
48,40,21,3,101.84,41,Tienda,Recurrente,Occidente,0.131,4,0,0,0,146.59,0.0
49,41,9,5,78.05,32,Mixto,Recurrente,Occidente,0.235,6,1,2,0,190.71,0.0
50,36,23,2,200.88,23,Mixto,Mayorista,Centro,0.247,5,1,0,1,320.0,320.0
51,33,22,1,99.96,38,Online,Recurrente,Centro,0.232,7,0,1,1,143.31,143.31
52,27,5,10,62.62,10,Online,Recurrente,Centro,0.255,7,4,0,1,245.7,245.7
53,18,6,4,53.04,20,Online,Nuevo,Occidente,0.443,8,3,1,1,128.18,128.18
54,44,23,1,93.33,11,Tienda,Recurrente,Norte,0.398,8,2,0,1,183.47,183.47
55,18,17,3,63.1,106,Mixto,Nuevo,Centro,0.311,7,1,0,0,152.76,0.0
56,44,18,8,77.18,26,Online,Nuevo,Norte,0.166,10,2,0,1,179.91,179.91
57,48,18,5,85.43,42,Tienda,Recurrente,Centro,0.633,5,0,0,0,170.32,0.0
58,27,22,3,62.35,87,Tienda,Nuevo,Centro,0.243,4,1,0,0,157.87,0.0
59,44,120,9,131.72,82,Tienda,Nuevo,Centro,0.633,7,3,0,1,209.66,209.66
60,46,34,2,86.67,2,Mixto,Recurrente,Occidente,0.662,3,3,0,1,176.47,176.47
61,46,57,10,136.46,26,Online,Recurrente,Centro,0.373,4,1,0,1,194.87,194.87
62,33,38,3,89.36,15,Tienda,Mayorista,Sur,0.139,4,5,0,1,230.53,230.53
63,42,66,10,89.41,19,Online,Recurrente,Norte,0.513,4,3,0,1,275.58,275.58
64,40,9,5,63.29,34,Mixto,Nuevo,Norte,0.412,5,3,0,1,155.33,155.33
65,29,31,3,152.1,17,Tienda,Recurrente,Norte,0.213,3,1,0,0,189.65,0.0
66,32,6,3,72.43,1,Online,Recurrente,Oriente,0.419,11,0,0,1,167.56,167.56
67,45,7,3,63.61,22,Mixto,Recurrente,Occidente,0.067,4,2,0,0,163.36,0.0
68,32,103,2,135.93,78,Online,Recurrente,Norte,0.412,11,1,1,1,187.9,187.9
69,43,50,5,89.29,37,Tienda,Recurrente,Occidente,0.591,5,1,0,1,161.47,161.47
70,39,24,4,81.89,36,Online,Nuevo,Centro,0.165,11,2,0,0,168.64,0.0
71,35,26,3,60.07,13,Online,Recurrente,Sur,0.451,6,1,0,0,143.11,0.0
72,39,26,3,134.94,56,Tienda,Mayorista,Oriente,0.441,8,2,0,1,152.74,152.74
73,42,2,3,74.68,365,Tienda,Nuevo,Sur,0.171,3,0,0,0,97.89,0.0
74,39,1,6,109.49,112,Tienda,Recurrente,Oriente,0.178,7,2,0,1,271.29,271.29
75,40,5,4,81.33,17,Tienda,Recurrente,Norte,0.355,3,1,0,0,142.7,0.0
76,46,27,2,97.09,58,Mixto,Nuevo,Oriente,0.22,1,2,0,0,156.48,0.0
77,36,30,3,57.44,6,Online,Nuevo,Sur,0.068,11,1,1,1,179.32,179.32
78,40,43,2,215.31,49,Tienda,Recurrente,Norte,0.147,4,3,0,1,226.12,226.12
79,36,23,4,58.96,15,Tienda,Recurrente,Oriente,0.406,6,1,0,1,182.13,182.13
80,43,17,3,113.99,2,Tienda,Mayorista,Centro,0.367,10,0,1,1,164.26,164.26
81,37,17,4,107.73,23,Online,Recurrente,Centro,0.499,6,2,0,0,218.85,0.0
82,46,17,5,100.32,23,Online,Mayorista,Oriente,0.422,8,1,0,1,219.06,219.06
83,50,8,4,101.03,51,Tienda,Recurrente,Centro,0.387,5,0,0,0,136.48,0.0
84,23,35,10,96.92,47,Online,Recurrente,Oriente,0.13,8,2,0,1,218.16,218.16
85,53,13,6,104.2,13,Tienda,Recurrente,Occidente,0.125,2,1,1,0,201.31,0.0
86,51,1,4,83.98,1,Tienda,Nuevo,Occidente,0.037,1,1,0,1,129.72,129.72
87,30,60,10,104.55,6,Tienda,Nuevo,Occidente,0.355,3,2,1,0,189.18,0.0
88,64,28,6,60.13,27,Mixto,Mayorista,Sur,0.425,3,0,0,0,215.19,0.0
89,41,25,4,139.03,105,Online,Recurrente,Sur,0.334,4,2,0,1,276.26,276.26
90,44,20,1,234.99,154,Tienda,Recurrente,Occidente,0.175,5,1,1,1,249.6,249.6
91,57,7,8,86.52,11,Tienda,Mayorista,Centro,0.044,6,3,0,0,234.63,0.0
92,31,3,4,84.67,63,Tienda,Recurrente,Norte,0.708,5,0,0,0,114.86,0.0
93,26,4,3,112.56,25,Online,Nuevo,Sur,0.151,10,1,1,0,175.69,0.0
94,34,59,3,70.94,164,Online,Nuevo,Norte,0.164,8,2,0,0,151.34,0.0
95,40,47,7,76.02,10,Online,Mayorista,Oriente,0.314,9,2,0,1,237.16,237.16
96,42,12,5,66.66,55,Online,Mayorista,Norte,0.382,7,0,0,0,84.95,0.0
97,46,16,4,131.7,36,Mixto,Recurrente,Centro,0.382,9,2,0,1,186.92,186.92
98,57,76,5,88.82,18,Mixto,Mayorista,Norte,0.277,5,3,0,1,202.96,202.96
99,30,120,8,61.03,75,Online,Recurrente,Oriente,0.231,10,2,1,1,192.97,192.97
100,25,21,4,134.44,68,Online,Mayorista,Centro,0.33,8,1,0,1,223.34,223.34
101,42,9,6,128.75,69,Mixto,Mayorista,Sur,0.467,6,1,0,1,246.01,246.01
102,38,44,8,107.83,19,Tienda,Recurrente,Norte,0.688,9,2,0,1,224.69,224.69
103,37,19,5,120.88,37,Tienda,Recurrente,Sur,0.149,2,0,1,0,193.12,0.0
104,23,82,3,109.75,23,Tienda,Nuevo,Sur,0.356,5,1,0,0,133.87,0.0
105,45,27,10,92.38,5,Tienda,Nuevo,Sur,0.373,5,3,0,1,231.02,231.02
106,45,22,2,54.59,312,Online,Mayorista,Norte,0.347,8,1,0,0,185.66,0.0
107,35,63,4,54.02,10,Mixto,Mayorista,Norte,0.295,4,3,0,0,231.61,0.0
108,68,3,8,57.88,17,Online,Recurrente,Centro,0.311,6,1,0,1,217.07,217.07
109,25,10,2,92.89,1,Tienda,Mayorista,Norte,0.207,8,1,1,0,129.62,0.0
110,49,7,3,133.04,31,Online,Nuevo,Centro,0.08,7,2,0,0,190.83,0.0
111,32,17,5,78.94,12,Mixto,Recurrente,Norte,0.542,6,2,3,0,146.86,0.0
112,29,4,5,178.23,14,Online,Nuevo,Sur,0.086,6,0,1,0,199.7,0.0
113,25,23,2,72.23,2,Online,Recurrente,Norte,0.42,7,1,0,0,147.88,0.0
114,49,10,4,84.87,163,Online,Mayorista,Sur,0.686,11,1,0,1,207.42,207.42
115,31,16,3,117.16,7,Online,Nuevo,Norte,0.259,7,1,0,1,164.84,164.84
116,33,9,2,194.94,139,Mixto,Mayorista,Occidente,0.17,8,1,0,0,261.76,0.0
117,34,13,3,86.51,26,Mixto,Recurrente,Sur,0.173,8,1,0,1,136.23,136.23
118,43,11,5,73.52,1,Mixto,Nuevo,Centro,0.063,7,1,0,0,164.66,0.0
119,51,13,3,131.73,12,Tienda,Mayorista,Sur,0.355,4,2,1,0,254.83,0.0
120,42,1,4,153.92,75,Tienda,Recurrente,Occidente,0.264,6,3,0,0,225.65,0.0
121,52,3,2,76.77,33,Mixto,Nuevo,Sur,0.5,4,0,1,0,106.02,0.0
122,53,8,6,90.83,21,Tienda,Recurrente,Norte,0.083,4,2,0,0,194.58,0.0
123,34,29,6,94.57,105,Tienda,Nuevo,Norte,0.096,6,0,0,0,189.18,0.0
124,42,16,3,153.96,4,Tienda,Recurrente,Oriente,0.205,7,1,0,0,224.63,0.0
125,48,45,6,94.16,36,Tienda,Nuevo,Sur,0.228,9,0,0,0,101.92,0.0
126,47,19,3,91.68,19,Online,Nuevo,Occidente,0.192,5,1,0,1,134.81,134.81
127,40,17,3,70.34,118,Online,Recurrente,Centro,0.388,9,0,1,1,114.23,114.23
128,56,31,1,80.88,19,Mixto,Nuevo,Norte,0.422,6,0,0,0,102.82,0.0
129,36,6,4,55.63,256,Online,Recurrente,Centro,0.426,7,1,0,0,128.19,0.0
130,37,12,6,60.03,35,Online,Nuevo,Occidente,0.313,11,0,0,0,112.97,0.0
131,43,16,5,61.74,32,Online,Recurrente,Occidente,0.388,5,1,0,1,162.14,162.14
132,37,5,4,106.25,58,Online,Recurrente,Norte,0.539,10,1,0,1,169.18,169.18
133,28,65,2,111.78,135,Online,Recurrente,Occidente,0.275,15,2,0,0,195.54,0.0
134,51,16,3,56.52,21,Online,Recurrente,Centro,0.217,4,1,0,1,103.64,103.64
135,39,120,7,156.6,63,Tienda,Nuevo,Centro,0.145,5,3,0,0,241.09,0.0
136,50,22,4,81.95,13,Tienda,Mayorista,Norte,0.059,6,2,0,1,151.46,151.46
137,52,51,4,99.33,3,Online,Nuevo,Occidente,0.325,6,1,0,0,142.42,0.0
138,26,5,3,64.38,38,Mixto,Recurrente,Norte,0.173,8,2,0,1,121.51,121.51
139,45,11,4,52.51,116,Online,Recurrente,Sur,0.264,3,1,0,0,111.26,0.0
140,34,9,7,55.07,1,Online,Recurrente,Sur,0.163,2,3,0,1,206.07,206.07
141,42,12,3,100.96,30,Online,Recurrente,Centro,0.112,8,3,0,0,178.99,0.0
142,46,3,5,169.09,60,Tienda,Nuevo,Centro,0.338,3,4,0,0,290.32,0.0
143,32,42,3,97.05,64,Online,Recurrente,Occidente,0.599,8,5,0,1,239.3,239.3
144,29,100,1,120.91,3,Tienda,Nuevo,Oriente,0.594,6,0,0,0,117.02,0.0
145,39,12,3,113.41,3,Tienda,Nuevo,Centro,0.532,9,0,0,1,98.37,98.37
146,36,16,6,122.64,206,Tienda,Recurrente,Centro,0.603,7,3,1,0,202.77,0.0
147,34,35,3,94.53,66,Online,Mayorista,Sur,0.026,7,1,0,0,221.18,0.0
148,43,21,6,174.92,117,Tienda,Nuevo,Norte,0.481,5,1,0,0,272.28,0.0
149,38,27,5,128.49,8,Mixto,Recurrente,Sur,0.363,6,0,0,0,184.26,0.0
150,45,14,3,42.34,7,Tienda,Recurrente,Sur,0.091,5,1,0,1,164.29,164.29
151,46,15,2,47.95,78,Tienda,Recurrente,Sur,0.261,5,0,0,0,83.67,0.0
152,32,8,5,80.65,119,Online,Nuevo,Oriente,0.088,10,2,0,0,214.66,0.0
153,34,1,4,50.05,157,Online,Nuevo,Norte,0.04,3,1,0,0,141.07,0.0
154,43,23,9,131.82,56,Online,Recurrente,Centro,0.022,10,1,0,0,272.46,0.0
155,42,24,3,105.37,9,Mixto,Mayorista,Sur,0.089,9,0,1,1,136.82,136.82
156,41,54,2,63.12,114,Tienda,Recurrente,Norte,0.282,7,1,0,1,195.19,195.19
157,55,10,8,77.2,164,Tienda,Nuevo,Sur,0.081,8,4,1,0,204.23,0.0
158,56,27,4,54.51,67,Online,Recurrente,Sur,0.351,10,1,0,1,81.52,81.52
159,21,33,3,45.73,66,Online,Nuevo,Norte,0.401,4,0,0,0,91.72,0.0
160,40,11,3,86.12,72,Mixto,Recurrente,Sur,0.241,5,2,0,0,159.36,0.0
161,37,17,2,209.64,89,Mixto,Recurrente,Centro,0.124,6,0,1,0,257.59,0.0
162,29,3,6,68.85,31,Online,Nuevo,Centro,0.228,13,0,0,1,179.63,179.63
163,22,14,8,117.29,16,Online,Nuevo,Oriente,0.114,10,2,1,1,189.84,189.84
164,18,14,4,55.38,108,Online,Recurrente,Centro,0.521,8,1,0,0,186.87,0.0
165,36,8,4,106.31,15,Online,Recurrente,Occidente,0.003,6,0,0,1,151.99,151.99
166,34,3,4,67.35,158,Mixto,Recurrente,Sur,0.512,2,2,0,1,157.3,157.3
167,41,50,3,90.89,14,Online,Recurrente,Occidente,0.299,6,1,0,0,157.25,0.0
168,36,53,5,87.56,72,Tienda,Nuevo,Norte,0.618,5,3,0,1,165.03,165.03
169,47,39,7,66.79,44,Online,Mayorista,Centro,0.451,8,2,0,0,211.49,0.0
170,51,43,4,54.13,78,Online,Recurrente,Oriente,0.225,13,1,1,0,186.9,0.0
171,31,47,5,85.2,12,Tienda,Nuevo,Oriente,0.341,4,2,0,0,127.06,0.0
172,33,27,4,107.0,5,Online,Nuevo,Oriente,0.398,9,0,0,0,135.55,0.0
173,53,12,4,182.66,11,Tienda,Nuevo,Oriente,0.113,7,0,0,0,155.24,0.0
174,29,23,4,51.46,31,Tienda,Mayorista,Centro,0.279,3,7,0,1,220.33,220.33
175,57,33,4,96.0,44,Tienda,Recurrente,Sur,0.49,7,2,0,0,157.11,0.0
176,61,1,5,130.32,30,Online,Recurrente,Centro,0.259,8,0,0,1,167.21,167.21
177,35,4,6,83.67,120,Mixto,Nuevo,Centro,0.302,3,1,1,0,136.66,0.0
178,40,12,5,62.52,108,Tienda,Recurrente,Centro,0.264,9,2,0,0,164.48,0.0
179,43,2,4,138.92,102,Online,Recurrente,Sur,0.44,4,2,0,1,209.71,209.71
180,25,25,2,152.17,87,Tienda,Recurrente,Norte,0.334,5,1,0,1,195.86,195.86
181,61,11,2,131.09,36,Tienda,Recurrente,Sur,0.075,2,0,0,1,189.58,189.58
182,18,11,3,102.34,128,Online,Nuevo,Norte,0.076,13,1,0,1,157.32,157.32
183,38,9,3,92.52,81,Online,Nuevo,Centro,0.172,4,0,0,1,84.19,84.19
184,34,11,6,95.92,19,Tienda,Recurrente,Norte,0.625,7,1,0,1,188.29,188.29
185,60,2,5,43.46,2,Mixto,Recurrente,Sur,0.12,2,0,0,1,191.05,191.05
186,39,24,1,106.85,69,Online,Nuevo,Occidente,0.151,12,1,0,0,150.07,0.0
187,23,12,5,58.99,25,Mixto,Recurrente,Oriente,0.24,8,0,0,0,145.1,0.0
188,44,25,3,81.94,247,Online,Recurrente,Occidente,0.095,10,0,1,0,160.53,0.0
189,42,14,3,93.25,48,Tienda,Recurrente,Norte,0.338,3,0,0,0,47.67,0.0
190,53,67,9,108.2,81,Tienda,Mayorista,Occidente,0.029,3,1,0,0,189.28,0.0
191,19,7,2,74.84,45,Online,Recurrente,Sur,0.632,6,4,0,0,199.31,0.0
192,49,12,3,75.66,89,Online,Mayorista,Norte,0.268,7,2,1,1,141.3,141.3
193,50,12,5,87.85,37,Tienda,Nuevo,Oriente,0.098,5,1,0,0,143.61,0.0
194,31,10,3,49.02,40,Online,Recurrente,Norte,0.129,8,2,0,0,102.68,0.0
195,28,6,2,95.08,35,Tienda,Nuevo,Centro,0.162,5,0,0,0,121.45,0.0
196,31,23,5,82.81,42,Tienda,Mayorista,Occidente,0.173,8,1,0,0,159.9,0.0
197,50,25,3,77.23,124,Tienda,Recurrente,Norte,0.213,4,2,0,0,184.22,0.0
198,47,94,12,142.33,16,Mixto,Recurrente,Sur,0.12,3,1,0,1,338.72,338.72
199,33,70,6,84.92,54,Online,Recurrente,Oriente,0.247,4,4,1,0,219.87,0.0
200,48,40,4,60.44,161,Online,Recurrente,Sur,0.253,6,1,0,0,145.59,0.0
201,52,52,7,157.72,76,Tienda,Recurrente,Centro,0.516,4,1,0,0,192.3,0.0
202,35,5,3,153.19,72,Online,Nuevo,Norte,0.132,11,0,0,0,194.4,0.0
203,51,5,4,171.01,98,Tienda,Recurrente,Centro,0.132,3,3,1,0,278.84,0.0
204,34,38,6,103.99,61,Online,Nuevo,Sur,0.242,9,0,0,1,167.45,167.45
205,34,12,1,153.32,25,Tienda,Mayorista,Centro,0.245,4,3,1,0,207.66,0.0
206,37,37,6,130.55,4,Tienda,Mayorista,Occidente,0.474,6,0,0,0,148.11,0.0
207,41,4,2,89.89,64,Online,Recurrente,Norte,0.287,8,1,0,0,177.93,0.0
208,18,2,1,70.75,6,Tienda,Nuevo,Norte,0.555,4,2,1,1,109.31,109.31
209,26,50,7,57.9,11,Online,Nuevo,Norte,0.561,9,2,0,0,207.18,0.0
210,18,21,5,83.31,187,Online,Recurrente,Sur,0.088,10,2,0,1,121.86,121.86
211,45,50,3,157.37,77,Tienda,Mayorista,Occidente,0.155,5,2,0,1,215.74,215.74
212,52,14,5,151.59,36,Online,Recurrente,Occidente,0.22,8,3,0,1,274.64,274.64
213,54,29,1,70.29,75,Online,Nuevo,Oriente,0.375,10,2,1,1,83.9,83.9
214,18,4,3,54.99,75,Mixto,Recurrente,Sur,0.168,3,2,0,1,188.64,188.64
215,39,104,6,133.4,7,Mixto,Nuevo,Norte,0.717,5,1,0,1,159.2,159.2
216,25,6,2,126.21,81,Online,Mayorista,Norte,0.421,4,0,0,1,180.77,180.77
217,23,17,2,67.81,15,Tienda,Recurrente,Occidente,0.266,6,2,0,0,93.91,0.0
218,32,15,6,75.73,100,Tienda,Nuevo,Centro,0.146,12,3,0,0,162.65,0.0
219,24,2,5,39.43,61,Mixto,Recurrente,Oriente,0.136,5,0,0,0,140.86,0.0
220,60,3,8,152.75,34,Online,Nuevo,Sur,0.363,9,3,1,0,272.81,0.0
221,22,13,7,120.54,6,Tienda,Recurrente,Centro,0.099,8,1,0,1,270.94,270.94
222,27,1,7,141.68,3,Tienda,Recurrente,Sur,0.103,6,3,0,0,321.19,0.0
223,36,5,10,52.69,7,Tienda,Nuevo,Occidente,0.412,8,5,0,1,190.48,190.48
224,39,20,5,95.42,211,Tienda,Recurrente,Occidente,0.134,4,1,0,0,214.77,0.0
225,38,26,3,102.85,89,Mixto,Nuevo,Norte,0.2,5,1,1,0,149.36,0.0
226,25,28,4,112.4,82,Mixto,Recurrente,Centro,0.712,6,0,0,1,188.19,188.19
227,41,20,6,89.99,25,Mixto,Recurrente,Centro,0.499,4,1,0,0,221.14,0.0
228,41,3,8,117.66,78,Tienda,Nuevo,Oriente,0.236,8,3,0,1,261.34,261.34
229,46,34,5,88.13,2,Tienda,Nuevo,Centro,0.413,2,2,0,0,95.51,0.0
230,36,18,1,88.01,123,Tienda,Nuevo,Norte,0.425,6,4,0,0,127.64,0.0
231,48,55,8,98.61,18,Online,Nuevo,Norte,0.393,11,3,0,1,183.28,183.28
232,22,10,6,138.98,87,Mixto,Recurrente,Sur,0.377,2,0,0,1,204.85,204.85
233,52,87,5,54.11,153,Online,Recurrente,Norte,0.331,9,1,0,1,172.84,172.84
234,47,57,4,66.23,38,Online,Recurrente,Centro,0.282,9,2,1,0,166.06,0.0
235,41,20,2,69.56,11,Tienda,Recurrente,Centro,0.335,3,0,0,1,126.36,126.36
236,43,5,4,223.21,16,Tienda,Nuevo,Occidente,0.227,5,0,0,1,234.06,234.06
237,49,11,3,72.44,108,Mixto,Recurrente,Occidente,0.136,1,1,0,0,187.33,0.0
238,47,1,3,116.89,54,Tienda,Recurrente,Sur,0.168,7,1,0,0,161.71,0.0
239,26,8,3,143.09,18,Online,Nuevo,Norte,0.056,12,1,1,0,237.12,0.0
240,50,28,1,99.92,52,Online,Recurrente,Centro,0.176,8,0,0,1,135.26,135.26
241,40,49,5,101.39,17,Online,Recurrente,Occidente,0.556,11,1,0,0,166.02,0.0
242,51,5,6,79.11,84,Online,Nuevo,Norte,0.331,8,1,0,0,156.7,0.0
243,42,43,7,90.18,49,Online,Nuevo,Oriente,0.261,11,2,0,1,142.05,142.05
244,27,58,6,148.29,24,Mixto,Mayorista,Occidente,0.207,7,2,0,1,238.73,238.73
245,26,16,4,74.09,18,Tienda,Recurrente,Oriente,0.311,2,1,0,1,168.88,168.88
246,43,1,2,62.68,8,Online,Recurrente,Norte,0.366,6,0,0,1,137.07,137.07
247,50,4,5,84.63,33,Online,Mayorista,Occidente,0.394,5,0,0,1,123.5,123.5
248,22,1,2,53.37,91,Tienda,Recurrente,Norte,0.192,4,3,0,0,193.61,0.0
249,34,7,7,84.59,141,Tienda,Nuevo,Centro,0.551,6,1,0,0,168.56,0.0
250,50,7,5,68.91,41,Online,Recurrente,Oriente,0.349,7,1,0,1,168.29,168.29
251,34,81,5,123.46,84,Online,Recurrente,Sur,0.185,4,4,0,0,272.22,0.0
252,58,14,4,99.29,9,Online,Nuevo,Centro,0.275,7,1,0,0,173.19,0.0
253,45,29,3,105.68,52,Mixto,Recurrente,Centro,0.588,4,2,0,0,201.94,0.0
254,51,17,4,76.13,85,Tienda,Recurrente,Centro,0.264,3,0,0,0,175.63,0.0
255,30,11,5,66.36,34,Online,Nuevo,Norte,0.143,3,2,0,1,210.52,210.52
256,58,20,3,99.07,48,Mixto,Nuevo,Occidente,0.115,5,0,1,1,153.32,153.32
257,46,14,3,184.47,162,Mixto,Mayorista,Oriente,0.284,4,1,0,0,281.33,0.0
258,42,40,7,50.53,19,Mixto,Recurrente,Oriente,0.378,7,2,0,0,241.53,0.0
259,47,6,6,283.48,171,Online,Recurrente,Centro,0.361,8,0,1,0,283.65,0.0
260,42,57,2,54.73,2,Online,Nuevo,Centro,0.259,7,5,1,1,155.73,155.73
261,54,36,6,59.93,23,Tienda,Recurrente,Oriente,0.364,2,1,0,0,173.35,0.0
262,37,2,2,64.23,65,Tienda,Recurrente,Sur,0.095,8,3,0,0,162.91,0.0
263,36,17,6,141.47,39,Tienda,Mayorista,Norte,0.347,6,1,0,1,256.26,256.26
264,37,77,4,77.29,17,Tienda,Nuevo,Norte,0.379,5,0,0,1,135.29,135.29
265,41,28,6,96.99,22,Tienda,Recurrente,Centro,0.649,4,2,0,0,186.31,0.0
266,39,9,3,78.34,70,Online,Recurrente,Oriente,0.147,6,1,0,1,136.83,136.83
267,18,36,3,71.98,22,Online,Recurrente,Sur,0.142,12,1,0,1,141.52,141.52
268,51,53,6,143.9,13,Tienda,Mayorista,Centro,0.123,1,1,0,0,242.26,0.0
269,28,17,6,69.31,76,Online,Recurrente,Centro,0.382,8,3,0,0,184.57,0.0
270,33,99,4,125.48,7,Online,Recurrente,Sur,0.596,5,0,0,0,155.63,0.0
271,35,71,1,111.93,6,Online,Nuevo,Norte,0.302,11,1,0,1,137.39,137.39
272,47,2,6,92.32,127,Tienda,Recurrente,Sur,0.119,5,1,0,1,201.97,201.97
273,18,6,7,76.09,38,Online,Recurrente,Norte,0.547,9,3,0,1,197.05,197.05
274,23,40,4,93.59,8,Online,Nuevo,Occidente,0.353,13,1,0,0,141.18,0.0
275,65,49,4,80.37,11,Mixto,Nuevo,Norte,0.297,4,4,0,1,193.95,193.95
276,53,8,3,117.04,4,Online,Mayorista,Norte,0.276,11,4,0,0,250.11,0.0
277,58,43,8,76.79,111,Mixto,Recurrente,Centro,0.318,8,3,0,1,185.64,185.64
278,36,44,5,129.26,42,Online,Recurrente,Oriente,0.433,8,1,0,1,201.08,201.08
279,52,27,5,223.88,174,Online,Nuevo,Oriente,0.412,5,3,0,1,284.71,284.71
280,36,32,4,101.57,10,Online,Nuevo,Sur,0.379,10,0,0,1,157.21,157.21
281,34,29,5,70.29,21,Tienda,Recurrente,Norte,0.191,5,2,1,0,136.61,0.0
282,18,100,5,87.87,44,Online,Recurrente,Sur,0.016,7,2,0,1,183.13,183.13
283,37,1,2,254.68,84,Mixto,Nuevo,Norte,0.188,4,3,0,1,270.23,270.23
